user_id,session_id,event_time,event_name,device,city
1,1_2,2024-01-02 23:00:00,signup,desktop,Mumbai
1,1_2,2024-01-02 23:02:00,product_view,desktop,Mumbai
1,1_2,2024-01-02 23:05:00,add_to_cart,desktop,Mumbai
1,1_2,2024-01-02 23:09:00,checkout,desktop,Mumbai
1,1_0,2024-03-12 20:00:00,signup,desktop,Mumbai
1,1_0,2024-03-12 20:02:00,product_view,desktop,Mumbai
1,1_0,2024-03-12 20:05:00,add_to_cart,desktop,Mumbai
1,1_0,2024-03-12 20:09:00,checkout,desktop,Mumbai
1,1_1,2024-03-28 20:00:00,signup,desktop,Mumbai
1,1_1,2024-03-28 20:02:00,product_view,desktop,Mumbai
1,1_1,2024-03-28 20:06:00,checkout,desktop,Mumbai
2,2_0,2024-03-29 16:00:00,signup,mobile,Jaipur
2,2_0,2024-03-29 16:02:00,product_view,mobile,Jaipur
2,2_0,2024-03-29 16:05:00,add_to_cart,mobile,Jaipur
2,2_0,2024-03-29 16:09:00,checkout,mobile,Jaipur
3,3_1,2024-02-20 06:00:00,signup,mobile,Lucknow
3,3_1,2024-02-20 06:02:00,product_view,mobile,Lucknow
3,3_1,2024-02-20 06:05:00,add_to_cart,mobile,Lucknow
3,3_0,2024-02-20 11:00:00,signup,mobile,Lucknow
3,3_0,2024-02-20 11:02:00,product_view,mobile,Lucknow
3,3_0,2024-02-20 11:05:00,add_to_cart,mobile,Lucknow
3,3_0,2024-02-20 11:09:00,checkout,mobile,Lucknow
3,3_2,2024-02-29 13:00:00,signup,mobile,Lucknow
3,3_2,2024-02-29 13:02:00,product_view,mobile,Lucknow
3,3_2,2024-02-29 13:05:00,add_to_cart,mobile,Lucknow
3,3_2,2024-02-29 13:09:00,checkout,mobile,Lucknow
4,4_0,2024-01-08 14:00:00,signup,desktop,Jaipur
4,4_0,2024-01-08 14:02:00,product_view,desktop,Jaipur
4,4_0,2024-01-08 14:05:00,add_to_cart,desktop,Jaipur
4,4_0,2024-01-08 14:09:00,checkout,desktop,Jaipur
4,4_1,2024-05-11 01:00:00,signup,desktop,Jaipur
4,4_1,2024-05-11 01:02:00,product_view,desktop,Jaipur
4,4_1,2024-05-11 01:05:00,add_to_cart,desktop,Jaipur
4,4_2,2024-05-25 11:00:00,signup,desktop,Jaipur
5,5_0,2024-02-09 20:00:00,signup,mobile,Mumbai
5,5_0,2024-02-09 20:02:00,product_view,mobile,Mumbai
5,5_0,2024-02-09 20:05:00,add_to_cart,mobile,Mumbai
5,5_2,2024-03-11 08:00:00,signup,mobile,Mumbai
5,5_2,2024-03-11 08:02:00,product_view,mobile,Mumbai
5,5_2,2024-03-11 08:05:00,add_to_cart,mobile,Mumbai
5,5_2,2024-03-11 08:09:00,checkout,mobile,Mumbai
5,5_1,2024-06-02 12:00:00,signup,mobile,Mumbai
5,5_1,2024-06-02 12:02:00,product_view,mobile,Mumbai
5,5_1,2024-06-02 12:06:00,checkout,mobile,Mumbai
6,6_1,2024-01-28 06:00:00,signup,mobile,Indore
6,6_1,2024-01-28 06:03:00,add_to_cart,mobile,Indore
6,6_1,2024-01-28 06:07:00,checkout,mobile,Indore
6,6_2,2024-05-30 23:00:00,signup,mobile,Indore
6,6_2,2024-05-30 23:02:00,product_view,mobile,Indore
6,6_2,2024-05-30 23:05:00,add_to_cart,mobile,Indore
6,6_0,2024-06-11 00:00:00,signup,mobile,Indore
6,6_0,2024-06-11 00:02:00,product_view,mobile,Indore
7,7_1,2024-01-27 08:00:00,signup,mobile,Delhi
7,7_1,2024-01-27 08:02:00,product_view,mobile,Delhi
7,7_1,2024-01-27 08:05:00,add_to_cart,mobile,Delhi
7,7_0,2024-05-10 00:00:00,signup,mobile,Delhi
7,7_0,2024-05-10 00:02:00,product_view,mobile,Delhi
7,7_0,2024-05-10 00:05:00,add_to_cart,mobile,Delhi
7,7_2,2024-06-27 06:00:00,signup,mobile,Delhi
7,7_2,2024-06-27 06:02:00,product_view,mobile,Delhi
7,7_2,2024-06-27 06:05:00,add_to_cart,mobile,Delhi
8,8_0,2024-06-19 03:00:00,signup,mobile,Bangalore
8,8_0,2024-06-19 03:03:00,add_to_cart,mobile,Bangalore
9,9_1,2024-04-01 06:00:00,signup,mobile,Mumbai
9,9_1,2024-04-01 06:03:00,add_to_cart,mobile,Mumbai
9,9_0,2024-05-13 11:00:00,signup,mobile,Mumbai
9,9_0,2024-05-13 11:02:00,product_view,mobile,Mumbai
10,10_0,2024-04-12 05:00:00,signup,desktop,Lucknow
10,10_0,2024-04-12 05:02:00,product_view,desktop,Lucknow
10,10_0,2024-04-12 05:05:00,add_to_cart,desktop,Lucknow
10,10_0,2024-04-12 05:09:00,checkout,desktop,Lucknow
11,11_0,2024-02-28 21:00:00,signup,mobile,Mumbai
11,11_0,2024-02-28 21:02:00,product_view,mobile,Mumbai
11,11_0,2024-02-28 21:05:00,add_to_cart,mobile,Mumbai
11,11_1,2024-03-02 16:00:00,signup,mobile,Mumbai
11,11_1,2024-03-02 16:02:00,product_view,mobile,Mumbai
11,11_1,2024-03-02 16:05:00,add_to_cart,mobile,Mumbai
11,11_2,2024-05-10 16:00:00,signup,mobile,Mumbai
11,11_2,2024-05-10 16:02:00,product_view,mobile,Mumbai
12,12_0,2024-05-08 18:00:00,signup,mobile,Delhi
12,12_0,2024-05-08 18:02:00,product_view,mobile,Delhi
12,12_0,2024-05-08 18:05:00,add_to_cart,mobile,Delhi
12,12_1,2024-06-08 22:00:00,signup,mobile,Delhi
12,12_1,2024-06-08 22:02:00,product_view,mobile,Delhi
13,13_0,2024-04-07 05:00:00,signup,desktop,Bangalore
13,13_0,2024-04-07 05:02:00,product_view,desktop,Bangalore
13,13_1,2024-05-03 05:00:00,signup,desktop,Bangalore
13,13_1,2024-05-03 05:02:00,product_view,desktop,Bangalore
13,13_1,2024-05-03 05:06:00,checkout,desktop,Bangalore
13,13_2,2024-06-12 18:00:00,signup,desktop,Bangalore
13,13_2,2024-06-12 18:02:00,product_view,desktop,Bangalore
13,13_2,2024-06-12 18:06:00,checkout,desktop,Bangalore
14,14_0,2024-05-07 06:00:00,signup,mobile,Indore
14,14_0,2024-05-07 06:03:00,add_to_cart,mobile,Indore
14,14_2,2024-05-23 15:00:00,signup,mobile,Indore
14,14_2,2024-05-23 15:02:00,product_view,mobile,Indore
14,14_2,2024-05-23 15:05:00,add_to_cart,mobile,Indore
14,14_2,2024-05-23 15:09:00,checkout,mobile,Indore
14,14_1,2024-06-26 22:00:00,signup,mobile,Indore
14,14_1,2024-06-26 22:02:00,product_view,mobile,Indore
15,15_0,2024-01-09 08:00:00,signup,desktop,Patna
15,15_0,2024-01-09 08:02:00,product_view,desktop,Patna
15,15_1,2024-05-31 21:00:00,signup,desktop,Patna
15,15_1,2024-05-31 21:02:00,product_view,desktop,Patna
15,15_1,2024-05-31 21:06:00,checkout,desktop,Patna
16,16_1,2024-02-23 02:00:00,signup,desktop,Jaipur
